1001 | В двух неделях 10 рабочих дней. Сколько рабочих дней в 4 неделях? | 20 | Сколько рабочих дней в 1 неделе? : 5 | Сколько рабочих дней в 4 неделях? : 20
1002 | На 3 джемпера идёт 12 мотков шерсти. Сколько джемперов можно связать из 16 мотков шерсти? | 4 | Сколько мотков шерсти идёт на 1 джемпер? : 4 | Сколько джемперов можно связать из 16 мотков шерсти? : 4
1003 | На 3 костюма идёт 9 м ткани. Сколько метров ткани пойдёт на 6 костюмов? | 18
1004 | На 4 одинаковых платьях 20 пуговиц. Сколько пуговиц на 2 платьях? | 10
1005 | Из 40 деталей конструктора можно составить 4 одинаковые машины. Сколько машин можно сделать из 60 деталей? | 6
1006 | В 7 одинаковых домах 35 окон. Сколько окон в 3 домах? | 15
1007 | 20 цветов разложили поровну в 4 букета. Сколько получится одинаковых букетов из 30 цветов? | 6
1008 | 18 л морса разлили в 6 банок поровну. Сколько надо таких банок для 24 л морса? | 8
1009 | В 4 тетрадях 48 листов. Сколько листов в 7 таких же тетрадях? | 84
1010 | В 3 вёдрах 24 л молока. Сколько молока в 9 таких же вёдрах? | 72
1011 | 12 кг помидоров разложили для засолки в 3 банки. Сколько нужно таких банок, чтобы засолить 32 кг помидоров? | 8
1012 | Для 6 гирлянд надо 48 фонариков. Сколько потребуется фонариков для 11 гирлянд? | 88
1013 | На 3 улицах 39 домов. Сколько домов на 5 таких же улицах? | 65
1014 | В кинотеатре в 3 рядах 51 место. Сколько мест в 5 рядах? | 85
1015 | С 8 овец настригли 48 кг шерсти, с каждой поровну. Сколько овец нужно остричь, чтобы получить 30 кг шерсти? | 5
1016 | В 6 одинаковых домах 24 подъезда. Сколько подъездов в 12 таких же домах? | 48
1017 | От 4 коров получили за день 40 л молока, от каждой поровну. Сколько коров при том же надое дадут 90 л молока? | 9
1018 | В 6 коробках лежало 78 кг печенья. Сколько потребуется коробок для 39 кг печенья при той же фасовке? | 3
1019 | Шагающий экскаватор за 2 смены вынимает 1200 ковшей грунта. Сколько ковшей грунта будет вынуто за 3 смены? | 1800
